"n","p1","p2","r","zero_benchmark","nb_discoveries","nb_real_discoveries","distance_tot","distance_U","distance_V","sinTheta_tot","sinTheta_U","sinTheta_V","prediction_tot","prediction_U","prediction_V","TPR","TNR","FPR","FNR","noise","method","prop_missing","overlapping_amount","n.1","r_pca","exp"
100,50,50,2,2,100,100,2.88333642040525,1.75340423938796,2.2870303392462,8.95197844183796,4.90526568571565,9.27556567659029,3.44769823799027,316.503806303918,480.222358471445,0.3,0,0.7,0,1,"RRR",0,0,100,0,1
100,50,50,2,2,100,100,2.71388462058975,1.68619278230768,2.12408691146114,7.27096565856835,5.23338847320337,8.02492976752423,2.99964870574071,286.237390840751,446.412690417166,0.3,0,0.7,0,1,"Alt-1e-04",0,0,100,0,1
100,50,50,2,2,100,100,2.6209959878415,1.61321484146786,2.06248052098491,6.84568559268172,5.0214716728456,7.69362758803693,2.84077012781423,263.256582316947,425.585947487757,0.3,0,0.7,0,1,"Alt-5e-04",0,0,100,0,1
100,50,50,2,2,100,99,2.53814569509342,1.54272583878835,2.01167962345175,6.5319211632635,4.78840483538368,7.42921012010441,2.71126777473363,241.51575663601,406.036757665666,0.303030303030303,1,0.696969696969697,0,1,"Alt-0.001",0,0,100,0,1
100,50,50,2,2,100,95,2.21191657651611,1.36545087138136,1.73979168021689,4.4514427670941,4.24616402575806,5.43844798315487,2.13600010149777,185.838005854546,346.148053325313,0.305263157894737,0.8,0.694736842105263,0.0333333333333333,1,"Alt-0.005",0,0,100,0,1
100,50,50,2,2,100,94,1.97196078383795,1.24758261497004,1.52713696417625,3.45608125093513,4.01791318689506,4.68530275252002,1.72438538784701,157.996424148062,286.143508410499,0.319148936170213,1,0.680851063829787,0,1,"Alt-0.01",0,0,100,0,1
100,50,50,2,2,100,73,1.92082329223564,1.2986808865458,1.40559923010008,2.62272368407713,2.6866022465888,3.00749681815276,1.4277701062993,161.846083458648,196.058964512885,0.36986301369863,0.888888888888889,0.63013698630137,0.1,1,"Alt-0.05",0,0,100,0,1
100,50,50,2,2,100,55,1.92004524740767,1.30936732531165,1.39712601734068,2.48465469845629,2.55016277496146,3.05308377480419,1.22739490122922,161.218603038717,188.65349483591,0.436363636363636,0.866666666666667,0.563636363636364,0.2,1,"Alt-0.1",0,0,100,0,1
100,50,50,2,2,100,10,2.23674065980453,1.59016717913147,1.48996734537844,2.85049381385291,2.85143242637041,2.81074430371734,1.63647206539152,289.406803631567,250.395941526339,0.9,0.766666666666667,0.1,0.7,1,"Alt-0.5",0,0,100,0,1
100,50,50,2,2,100,99,2.89499406821993,1.76731096528623,2.29179766944799,8.91217094380491,5.15725717321617,9.25300012525772,3.39998805846531,315.853557133429,488.013234276038,0.303030303030303,1,0.696969696969697,0,1,"CCA-mean",0,0,100,0,1
100,50,50,2,2,100,99,2.89499406821993,1.76731096528623,2.29179766944799,8.91217094380491,5.15725717321617,9.25300012525772,3.39998805846531,315.853557133429,488.013234276038,0.303030303030303,1,0.696969696969697,0,1,"CCA-median",0,0,100,0,1
100,50,50,2,2,100,100,3.07193918414397,2.09400407820067,2.04306990811258,6.78499295643354,4.7042956079284,5.01360613924717,3.72220681628443,452.634758244897,396.579904958296,0.3,0,0.7,0,1,"RRR",0.05,0,100,0,1
100,50,50,2,2,100,100,3.08435899233335,2.10278294730471,2.08925560942674,6.78333696276365,4.81642474661208,5.48909079064419,3.43940927902758,440.110963609201,419.741918531569,0.3,0,0.7,0,1,"Alt-1e-04",0.05,0,100,0,1
100,50,50,2,2,100,100,3.07414660466537,2.08811673051406,2.07347366712118,6.6844295765793,4.75976948898609,5.48896093046204,3.37311110106715,430.760923096197,414.633019246113,0.3,0,0.7,0,1,"Alt-5e-04",0.05,0,100,0,1
100,50,50,2,2,100,100,3.05938387461103,2.06808774173479,2.05135852004865,6.56140931777215,4.68784936961887,5.49595064654105,3.28001532957282,418.254548780056,407.23428465377,0.3,0,0.7,0,1,"Alt-0.001",0.05,0,100,0,1
100,50,50,2,2,100,95,2.83737966847715,1.97875483932975,1.90667944531432,5.71941411720302,4.40355994387219,5.31604006483601,2.76413514676698,366.530222360361,356.774910579295,0.315789473684211,1,0.684210526315789,0,1,"Alt-0.005",0.05,0,100,0,1
100,50,50,2,2,100,88,2.52023277686519,1.78775128818617,1.77560055662043,4.30526233189054,3.66775494044369,5.09704606017849,2.25643381771478,309.701117088253,322.744921728935,0.295454545454545,0.666666666666667,0.704545454545455,0.133333333333333,1,"Alt-0.01",0.05,0,100,0,1
100,50,50,2,2,100,71,2.49173733867316,1.69091204499387,1.74409702253024,3.58573883150143,3.46613767538482,4.69691065794374,1.8395890821153,265.681196345287,281.48990810065,0.295774647887324,0.689655172413793,0.704225352112676,0.3,1,"Alt-0.05",0.05,0,100,0,1
