n,p1,p2,r,zero_benchmark,nb_discoveries,nb_real_discoveries,distance_tot,distance_U,distance_V,sinTheta_tot,sinTheta_U,sinTheta_V,prediction_tot,prediction_U,prediction_V,TPR,TNR,FPR,FNR,noise,method,prop_missing,overlapping_amount,n.1,strength_theta,r_pca,exp
100,5,5,2,2,10,10,0.33010088945713206,0.20940456460794873,0.25039644976763237,0.50295195162959,0.7048973477503478,1.106119303097514,0.3850213433217364,4.619481550550286,6.159808717078183,1,0,0,0,1,RRR,0,1,100,high,0,2
100,5,5,2,2,10,10,0.32441949807768256,0.21584686581051452,0.238127129274397,0.4989086580039565,0.735060728824081,1.109699860120586,0.38085421562451127,4.964346007279594,5.664483889870835,1,0,0,0,1,Alt,0,1,100,high,0,2
100,5,5,2,2,10,10,0.32782916102588894,0.21112650969302074,0.2459613114235379,0.49983051972458564,0.729566628508919,1.103966885032228,0.38431706795682197,4.702052386554269,5.945829728276293,1,0,0,0,1,CCA-mean,0,1,100,high,0,2
100,5,5,2,2,10,10,0.32782916102588894,0.21112650969302074,0.2459613114235379,0.49983051972458564,0.729566628508919,1.103966885032228,0.38431706795682197,4.702052386554269,5.945829728276293,1,0,0,0,1,CCA-median,0,1,100,high,0,2
100,5,5,2,1.9999999999999998,10,10,0.38242874162045487,0.261091238059168,0.2781624626849954,0.5662204684620687,0.7151768364134639,0.6346806873210091,0.42262122297762045,5.254845052233529,6.84136341490095,1,0,0,0,1,RRR,0.05,1,100,high,0,2
100,5,5,2,1.9999999999999998,10,10,0.38605230346745417,0.23566223631519428,0.30300290261158913,0.5747430341726948,0.641034015672674,0.6674545775309131,0.42662023210203676,4.596993944390181,8.216283837714307,1,0,0,0,1,Alt,0.05,1,100,high,0,2
100,5,5,2,1.9999999999999998,10,10,0.42258358691605336,0.31114871946559114,0.2848257470368779,0.6452000222214884,0.6865617694144983,0.7362620193447552,0.43953387714311737,7.014457762854482,6.943288620740677,1,0,0,0,1,CCA-mean,0.05,1,100,high,0,2
100,5,5,2,1.9999999999999998,10,10,0.4230822426371926,0.3121623725604616,0.2842663594610844,0.6411648590828567,0.6899518827972171,0.7250010298334638,0.438960127773673,7.084578126198599,6.922441104858854,1,0,0,0,1,CCA-median,0.05,1,100,high,0,2
100,5,5,2,2,10,10,0.46727332066954824,0.19069193767015383,0.42310387440523584,0.7178790990488219,0.8030095340798895,1.4860395612404032,0.35204791765538024,3.881818769240665,17.69486865523348,1,0,0,0,1,RRR,0.1,1,100,high,0,2
100,5,5,2,2,10,10,0.4490492623725086,0.17142326061021718,0.4080601649706655,0.7066242606034222,0.6281003554875798,1.363153508130607,0.33789131785009346,3.1314991114652826,16.772236197193195,1,0,0,0,1,Alt,0.1,1,100,high,0,2
100,5,5,2,2,10,10,0.554029751512566,0.2685070136514793,0.479444447763779,0.8503385356521249,1.4833075193612568,1.8350420772445248,0.42867706992423255,7.513752524056921,22.616074272377432,1,0,0,0,1,CCA-mean,0.1,1,100,high,0,2
100,5,5,2,2,10,10,0.5472270925872305,0.26459948919889836,0.4749395086732596,0.8344957953987266,1.4802327329794496,1.8412920728669098,0.4224790984150708,7.376737295368516,22.159691026603543,1,0,0,0,1,CCA-median,0.1,1,100,high,0,2
100,5,5,2,1.9999999999999998,10,10,0.4536479988133248,0.3643076566180916,0.26263423188420576,0.6209616081481037,0.6592973125219651,0.5667262766933485,0.4441187062588821,12.105432496811584,6.7625461550105355,1,0,0,0,1,RRR,0.15000000000000002,1,100,high,0,2
100,5,5,2,1.9999999999999998,10,10,0.43907174380955805,0.3507414766199832,0.25892981274530574,0.5712482592195534,0.6741100951013564,0.48970515588158925,0.41137443535641705,10.701204332873395,6.8567410361839185,1,0,0,0,1,Alt,0.15000000000000002,1,100,high,0,2
100,5,5,2,1.9999999999999998,10,10,0.5603327604468159,0.4465794421313662,0.32655511914779367,0.7597139030601567,1.0973858146349291,1.279140019874717,0.5413857709269092,20.78664809731612,10.434278470183873,1,0,0,0,1,CCA-mean,0.15000000000000002,1,100,high,0,2
100,5,5,2,1.9999999999999998,10,10,0.5644886701480377,0.4464179344013794,0.3359777124694452,0.7629519921280524,1.119256039205676,1.2564646177304244,0.5444697611815303,20.758026305913962,10.994909645141128,1,0,0,0,1,CCA-median,0.15000000000000002,1,100,high,0,2
100,5,5,2,2,10,10,0.4060748946115383,0.307572781582423,0.25076254837754175,0.5260470637177388,0.9358313895387279,1.18349015099431,0.44119558017215066,11.377674328999003,6.904993852378435,1,0,0,0,1,RRR,0.2,1,100,high,0,2
100,5,5,2,2,10,10,0.3902085482313876,0.29805429038765,0.21992450882220313,0.49871954272056174,1.0495107576125906,1.2297915343500339,0.3982546441942277,10.679698483707655,5.362149883084603,1,0,0,0,1,Alt,0.2,1,100,high,0,2
100,5,5,2,2,10,10,0.4472518150483799,0.29954152903763653,0.3205720387786046,0.6058949054964786,0.5606030603560272,0.9727949714190082,0.5244409029808644,8.713069912597994,11.090880534286562,1,0,0,0,1,CCA-mean,0.2,1,100,high,0,2
100,5,5,2,2,10,10,0.46347692780419064,0.30758606288579593,0.33840846807484715,0.6044782551407948,0.5633743555401963,0.9904854769820797,0.5284955390233437,9.15512031440629,12.334994649353417,1,0,0,0,1,CCA-median,0.2,1,100,high,0,2
100,5,5,2,1.9999999999999993,10,10,0.49215028916329373,0.29365126900781074,0.38647084234097073,0.648747394765029,0.6514265515240474,0.7371792295246287,0.4563276597971851,9.258922790434562,16.626610628872218,1,0,0,0,1,RRR,0.25,1,100,high,0,2
100,5,5,2,1.9999999999999993,10,10,0.5924339706072891,0.37442546149310907,0.45666325364652427,0.7051166414305897,0.8782994610204173,0.7316629796588399,0.4013639779042066,14.673490445208635,23.726711605348616,1,0,0,0,1,Alt,0.25,1,100,high,0,2
100,5,5,2,1.9999999999999993,10,10,0.49294855456890607,0.3210228989267868,0.3740819964375628,0.6328518088877982,0.9625408118934814,1.2721354604788346,0.5326514221481903,12.204003817586212,13.923202770644362,1,0,0,0,1,CCA-mean,0.25,1,100,high,0,2
100,5,5,2,1.9999999999999993,10,10,0.47892070931302433,0.3171097353469718,0.35880329986560516,0.6189017282950179,0.9338349538486707,1.246065290888679,0.5239179304842247,11.865010157464212,12.791309421738392,1,0,0,0,1,CCA-median,0.25,1,100,high,0,2
100,5,5,2,1.9999999999999996,10,10,0.4726411606442432,0.37397548497308036,0.2890038366025217,0.8714752052131589,0.8646904443460844,1.1972067022777106,0.3998265640809566,12.281726617559391,6.38413616262572,1,0,0,0,1,RRR,0.30000000000000004,1,100,high,0,2
100,5,5,2,1.9999999999999996,10,10,0.5887963974442679,0.4205896871047468,0.4015768989733318,0.6762230065230387,1.2032200580595787,1.5231902820460264,0.24638047106046326,14.891400717872555,12.230596257482622,1,0,0,0,1,Alt,0.30000000000000004,1,100,high,0,2
100,5,5,2,1.9999999999999996,10,10,0.7335300429190943,0.5423414018034165,0.46956041838861223,1.6298986160855504,2.1866691616997573,1.7767142512182434,0.6824023177473425,25.55668747902588,20.345220170715777,1,0,0,0,1,CCA-mean,0.30000000000000004,1,100,high,0,2
100,5,5,2,1.9999999999999996,10,10,0.7180204501647665,0.5318672177547056,0.45525189711466074,1.614180979314544,2.1561366326982276,1.7446861582592526,0.6740699658039613,24.9031829244503,19.006947727361823,1,0,0,0,1,CCA-median,0.30000000000000004,1,100,high,0,2
100,5,5,2,2,10,10,0.562303841766574,0.3670337079683997,0.42263459048809165,0.9887151479717194,0.880726985229078,0.8872797548527925,0.5204646714724718,13.369695163300621,18.06215551501317,1,0,0,0,1,RRR,0.35000000000000003,1,100,high,0,2
100,5,5,2,2,10,10,0.8630961460980284,0.6683762674973854,0.5338039538035123,0.9619088296490916,1.4611954582623494,1.3896739720630882,0.3806209887589352,40.81814172556399,32.030465510571744,1,0,0,0,1,Alt,0.35000000000000003,1,100,high,0,2
